Country,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
Albania,42,42,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0,0
Argentina,129,60,30,30,30,28,27,26,26,26
Armenia,3,3,3,3,3,3,3,0,0,0
Australia,"2,005","2,020","1,712","1,494",817,817,579,379,197,103
Austria,"1,084","1,014",995,995,982,965,819,606,415,139
Azerbaijan,2,2,1,0,0,0,0,0,0,0
Bahrain,1,1,1,1,0,0,0,0,0,0
Bangladesh,2,2,2,2,1,1,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0,0
Belarus,2,2,2,1,1,1,1,1,0,0
Belgium,"1,078",886,563,384,287,194,167,95,68,44
Bhutan,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0
Brazil,"1,429",931,606,339,247,237,29,24,24,22
Bulgaria,503,500,177,158,57,36,14,10,10,0
Cambodia,0,0,0,0,0,0,0,0,0,0
Canada,"5,265","4,008","3,319","2,369","1,846","1,460",683,444,322,236
Cape Verde,24,3,3,3,3,3,3,3,0,0
Chad,0,0,0,0,0,0,0,0,0,0
Chile,190,172,168,20,20,2,2,2,2,1
China,"62,364","41,800","25,104","12,210","5,912","2,599","1,266",764,567,468
Colombia,20,20,20,20,20,20,20,20,20,0
Costa Rica,132,123,123,74,74,74,71,70,70,70
Croatia,131,89,28,18,17,17,6,6,0,0
Cuba,12,7,7,7,2,0,0,0,0,0
Curaçao,0,0,0,0,0,0,0,0,0,0
Cyprus,134,82,0,0,0,0,0,0,0,0
Czech Republic,217,215,192,150,116,57,29,17,10,3
Denmark,"3,927","3,749","3,465","3,160","3,125","3,136","3,128","3,124","3,110","2,880"
Djibouti,0,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0,0
Dominican Republic,33,25,0,0,0,0,0,0,0,0
Ecuador,3,4,4,4,3,0,0,0,0,0
Egypt,550,550,430,390,310,230,145,145,180,69
El Salvador,0,0,0,0,0,0,0,0,0,0
Eritrea,1,1,1,1,1,0,0,0,0,0
Estonia,184,149,142,78,59,33,33,22,4,2
Ethiopia,30,0,0,0,0,0,0,0,0,0
Faroe Islands,4,4,4,4,4,4,4,0,0,0
Fiji,10,10,10,10,0,0,0,0,0,0
Finland,197,197,147,140,110,86,82,82,51,41
France,"6,640","5,970","4,492","3,404","2,455","1,567",757,386,248,148
Gambia,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0
Germany,"29,060","27,190","25,777","23,903","22,247","20,621","18,428","16,629","14,609","12,001"
Ghana,0,0,0,0,0,0,0,0,0,0
Greece,"1,627","1,323","1,087",990,873,756,573,473,365,276
Grenada,1,1,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0,0
Guyana,14,14,14,14,14,14,14,10,0,0
Honduras,70,0,0,0,0,0,0,0,0,0
Hungary,329,295,201,127,65,61,17,3,2,1
Iceland,0,0,0,0,0,0,0,0,0,0
India,"15,880","13,065","10,926","9,587","7,850","6,270","4,430","3,000","2,110","1,702"
Indonesia,1,1,1,1,1,1,1,1,0,0
Iran,91,92,91,82,66,47,32,25,11,11
Ireland,"1,614","1,428","1,260","1,245",805,746,495,339,186,137
Israel,6,6,6,6,6,7,7,7,7,7
Italy,"6,737","5,797","4,850","3,736","2,726","2,123","1,718","1,265",904,785
Jamaica,48,30,30,21,21,21,35,21,0,0
Japan,"2,501","2,304","2,056","1,880","1,528","1,309","1,040",896,506,334
Jordan,2,2,2,2,2,2,2,2,2,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0
Kenya,5,5,5,0,0,0,0,0,0,0
Kosovo,0,0,0,0,0,0,0,0,0,0
Kuwait,0,0,0,0,0,0,0,0,0,0
Latvia,31,30,28,30,27,27,27,27,24,24
Libya,0,0,0,0,0,0,0,0,0,0
Lithuania,179,163,91,54,52,55,7,7,2,0
Luxembourg,44,43,43,41,41,33,33,33,32,20
Mauritania,4,0,0,0,0,0,0,0,0,0
Mauritius,1,1,0,0,0,0,0,0,0,0
Mexico,929,517,202,85,85,84,2,2,0,0
Micronesia,0,0,0,0,0,0,0,0,0,0
Mongolia,1,2,2,2,0,0,0,0,0,0
Montenegro,0,0,0,0,0,0,0,0,0,0
Morocco,291,286,253,125,125,64,64,54,54,54
Mozambique,0,0,0,0,0,0,0,0,0,0
Namibia,0,1,1,0,0,0,0,0,0,0
Netherlands,"2,328","2,269","2,229","2,225","1,747","1,559","1,224","1,078",908,682
New-Zealand,623,530,497,325,322,171,168,168,36,35
Nicaragua,63,60,60,60,60,60,60,0,0,0
Nigeria,2,2,2,2,2,2,2,2,2,1
North Macedonia,0,0,0,0,0,0,0,0,0,0
Norway,520,436,431,428,331,325,268,270,100,97
Oman,0,0,0,0,0,0,0,0,0,0
Pakistan,6,6,6,6,0,0,0,0,0,0
Panama,0,0,0,0,0,0,0,0,0,0
Peru,1,1,1,1,1,1,1,1,1,1
Philippines,33,33,33,25,25,25,25,25,0,0
Poland,"1,616","1,180",725,472,276,153,73,58,58,28
Portugal,"4,083","3,706","3,535","2,862","2,130","1,716","1,022",522,289,194
Puerto Rico,76,1,0,0,0,0,0,0,0,0
Romania,826,462,14,8,8,3,1,1,1,1
Russia,15,17,17,17,17,16,14,11,11,11
Saint Kitts and Nevis,2,2,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,0,0,0,0
Serbia,1,0,0,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0,0,0
Slovakia,3,3,3,5,5,5,5,5,3,0
Slovenia,0,0,0,0,0,0,0,0,0,0
South Africa,10,10,8,22,17,17,17,17,16,13
South Korea,406,379,348,278,192,176,119,23,19,16
Spain,"21,673","20,623","19,149","16,740","15,145","11,630","10,028","8,263","6,202","4,830"
Sri Lanka,86,54,3,3,3,3,3,3,3,3
Sudan,0,0,0,0,0,0,0,0,0,0
Sweden,"2,798","2,163","1,560","1,067",831,571,509,452,404,345
Switzerland,46,42,18,14,12,12,12,9,5,5
Syria,0,0,0,0,0,0,0,0,0,0
Taiwan,564,519,436,358,280,187,104,13,0,0
Tanzania,0,0,0,0,0,0,0,0,0,0
Thailand,8,0,0,0,0,0,0,0,0,0
The Bahamas,0,0,0,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0,0,0,0
Tunisia,54,20,20,20,20,20,20,20,10,19
Turkey,"1,799","1,329",801,333,207,65,20,21,21,19
