windfarm_name,latitude,longitude,windfarm_power
 Mesa Morenos,22.03097,-100.56431,79171.82
 San Carlos,24.52833,-98.78358,72451.79
 Borderlands,34.14619,-108.987,70570.29
 El Algodon Alto,28.00036,-96.33744,50299.67
 Elbow Creek Wind Farm (dismantled),32.15389,-100.58597,47672.83
 Elbow Creek Wind Farm,32.15389,-100.58597,47672.83
 Goodnoe Hills (dismantled),45.7795,-119.47644,40718.86
 Goodnoe Hills,45.7795,-119.47644,40718.86
 Langford (dismantled),31.10422,-99.33925,38053.7
 Langford,31.10422,-99.33925,38053.7
 Mesquite Sky wind farm,32.2815,-98.63872,120446.91
 Mower County (dismantled),43.62858,-91.429,55255.81
 Mower County,43.62858,-91.429,55255.81
 Panorama,40.61981,-103.51922,52659.85
 Pinnacle (dismantled),39.42625,-78.95328,87248.67
 Pinnacle,39.42625,-78.95328,87248.67
 Sweetwater 3 (dismantled),32.27611,-99.57694,34718.0
 Sweetwater 3,32.27611,-99.57694,34718.0
 Tg East wind farm,33.74639,-98.33442,120347.33
 Wildorado (dismantled),35.28503,-101.69189,54916.43
 Wildorado,35.28503,-101.69189,54916.43
 Cabo Leones III,-27.00403,-69.62603,58938.64
 La Flor,-36.332,-71.39667,72952.22
 Los Olmos,-36.35236,-71.52117,112624.35
 Tolpan Sur,-36.31619,-71.37247,72000.0
 Albrechtsfeld,47.83225,17.02367,67248.0
 Andau,47.77794,17.03339,63692.28
 Aspersdorf,48.59817,16.12119,43850.0
 Auersthal,48.345,16.64203,44487.0
 Bad Deutsch-Altenburg Carnuntum,48.10058,16.88881,66892.86
 Baumgarten,47.73806,16.50128,66856.0
 Berg-Erweiterung,48.09281,17.01094,44730.0
 Breitenlee,48.26233,16.52083,18143.33
 Breitensee I,48.23628,16.89503,8250.0
 Breitensee II,48.23628,16.89503,12300.0
 Bruck an der Leitha,48.03389,16.72631,25430.0
 Böheimkirchen,48.18983,15.76881,2560.0
 Deutsch-Wagram,48.33033,16.54825,53436.0
 Deutschkreutz,47.57972,16.62019,41147.78
 Donauinsel,48.19567,16.45558,6760.0
 Dürnkrut-Götzendorf I,48.50247,16.79111,45624.0
 Dürnkrut-Götzendorf II,48.50014,16.79811,44892.0
 Ebenfurth,47.89497,16.36878,27776.67
 Eberschwang,48.14453,13.51908,11995.0
 Eckartssau,48.14889,16.81183,5490.0
 Eibesbrunn I-IV,48.33953,16.51992,44660.0
 Ertl,47.96722,14.66011,11990.0
 Eschenau,48.04983,15.59072,11850.0
 Freudenau,48.18519,16.46392,13510.0
 Gaberl,47.09767,14.91817,14345.0
 Gattendorf Nord,48.03825,17.00008,67685.0
 Gerasdorf-Seyring I,48.34472,16.48597,13240.0
 Gerasdorf-Seyring II,48.34222,16.48583,11290.0
 Gerasdorf-Seyring III,48.34328,16.47978,15620.0
 Gföhl,48.51986,15.46542,7030.0
 Glinzendorf I,48.24775,16.64392,11600.0
 Glinzendorf II,48.24778,16.64386,5550.0
 Glinzendorf III,48.25164,16.66594,37667.27
 Gols I,47.92997,16.94,29160.83
 Gols II,47.92997,16.94,21833.64
 Gols III,47.92997,16.94,45633.33
 Gols IV,47.92997,16.94,29180.0
 Gols V,47.92997,16.94,45410.0
 Grafenschlag I,48.50531,15.17117,9610.0
 Groissenbrunn I,48.2355,16.90167,5310.0
 Groissenbrunn II,48.23269,16.89869,10140.0
 Groissenbrunn III,48.23278,16.90564,10530.0
 Groß-Engersdorf,48.33386,16.55225,35347.14
 Großhofen,48.24803,16.60881,48793.33
 Gänserndorf,48.34139,16.69656,26110.0
 Gänserndorf Nord,48.36292,16.73897,23940.0
 Hagenbrunn I,48.33978,16.44669,10790.0
 Hagenbrunn II,48.33978,16.44669,15515.0
 Hagenbrunn III,48.33978,16.44669,15630.0
 Hagn,48.63919,16.76886,46440.5
 Haindorf,48.17047,15.46367,40910.0
 Haindorf-Inning,48.17722,15.44419,32287.14
 Halbturn,47.85547,17.0005,1890.0
 Halbturn Heide,47.84256,17.00286,67443.75
 Halbturn Neuriss,47.84556,17.00092,67470.83
 Halbturn Nord,47.89481,17.02764,69594.0
 Halbturn Puszta,47.85142,17.00936,67449.09
 Haunoldstein,48.17878,15.45025,53730.0
 Hipples,48.50314,16.43328,10085.71
 Hochpürschtling,47.50419,15.57278,49156.67
 Hohenruppersdorf II,48.463,16.65597,80500.0
 Hoher Kölbling,48.27767,15.66186,42033.33
 Hollabrunn,48.52922,16.07947,37040.0
 Hollern I,48.08958,16.89392,29468.89
 Hollern II,48.09236,16.896,67512.0
 Höbersbrunn I,48.51889,16.58603,43390.0
 Höbersbrunn II,48.51622,16.58617,30210.0
 Höflein I-II,48.05839,16.76886,13110.0
 Höflein III,48.06183,16.76642,37990.0
 Höflein IV,48.05728,16.76428,43565.0
 Höflein VII,48.05083,16.77117,45578.33
 Japons I,48.8,15.52267,46950.0
 Japons II,48.78942,15.52625,47094.29
 Kettlasbrunn,48.54219,16.62219,41281.5
 Kilb,48.11489,15.39683,9265.0
 Kittsee I,48.07072,17.05556,36792.5
 Kittsee II,48.07072,17.05556,50388.33
 Kittsee III,48.08219,17.01286,33915.0
 Kleinhain,48.25592,15.66106,40756.0
 Kreuzstetten I,48.50525,16.44581,44887.0
 Kreuzstetten II,48.50525,16.44581,32170.0
 Kreuzstetten III,48.50525,16.44581,32080.0
 Langmannersdorf I,48.28406,15.81494,46690.0
 Langmannersdorf II,48.28433,15.82314,46505.0
 Laussa,47.95172,14.49228,14273.33
 Leitzersdorf I,48.41686,16.22886,22260.0
 Leitzersdorf II,48.41386,16.22694,22280.0
 Lichtenegg,47.60861,16.20358,36480.0
 Maria Jeutendorf,48.24936,15.73881,2130.0
 Markgrafneusiedl I,48.27936,16.60931,11480.0
 Markgrafneusiedl II,48.28261,16.64947,38570.0
 Markgrafneusiedl III,48.26978,16.66519,29151.11
 Matzen,48.39892,16.71483,10220.0
 Matzen-Klein Harras,48.43803,16.65119,46488.57
 Matzen-Klein Harras II,48.43803,16.65119,77486.67
 Matzneusiedl,48.17758,16.65197,10620.0
 Maustrenk II,48.54928,16.70269,28830.0
 Michelbach (AT),48.08533,15.75731,5330.0
 Moschkogel,47.56142,15.74386,24508.0
 Munderfing,48.055,13.24228,71776.0
 Mönchhof Dreijoch,47.90833,16.97367,67784.0
 Mönchhof II,47.89942,16.96225,43005.0
 Mönchhof Ost,47.90758,17.01556,46987.06
 Neudorf I,48.02083,16.90228,42827.27
 Neudorf II,48.03211,16.90439,45226.36
 Neuhof I,48.03994,16.89425,44716.67
 Neuhof II,48.03636,16.88847,45305.0
 Neuhof III,48.03781,16.86908,66069.17
 Neusiedl am See,47.94831,16.90033,24704.44
 Neusiedl an der Zaya,48.59497,16.75861,24336.0
 Nickelsdorf (AT),47.90556,17.04839,66732.14
 Oberrödham,48.32964,13.66161,14720.0
 Obersdorf I-III,48.35372,16.51247,37656.67
 Obersdorf IV-V,48.35372,16.51247,37655.0
 Obersiebenbrunn I,48.26914,16.66425,44520.0
 Oberstrahlbach,48.63892,15.12317,9663.33
 Oberwagram I,48.2045,15.67019,47060.0
 Oberwagram II,48.2045,15.67019,43750.0
 Oberwaltersdorf,47.95319,16.36544,76663.33
 Ottenschlag,48.41008,15.23486,11550.0
 Paasdorf-Lanzendorf,48.531,16.57869,44455.0
 Pama,48.05492,17.00717,17553.75
 Parbasdorf I,48.29122,16.58067,10625.0
 Parbasdorf II,48.28828,16.57797,10140.0
 Parndorf I,47.96508,16.87831,33168.0
 Parndorf II,47.98122,16.89175,24335.0
 Parndorf III,47.97917,16.90464,38191.74
 Parndorf IV,47.97681,16.86942,18800.0
 Parndorf V,47.98147,16.88531,41670.0
 Petronell Carnuntum,48.08744,16.8355,43682.73
 Pillichsdorf,48.34742,16.50725,43228.0
 Plankogel,47.34908,15.55372,17520.0
 Plöckenpaß,46.60761,12.94667,9850.0
 Pongratzer Kogel,47.35058,15.89064,46520.0
 Pottelsdorf I,47.75906,16.42061,45860.0
 Pottelsdorf II,47.76256,16.41794,48850.0
 Pottenbrunn I,48.23628,15.71806,11754.0
