windfarm_name,latitude,longitude,windfarm_power
 Altagowlan,54.12342,-7.85239,19894.44
 Anarget,54.75536,-7.83103,19833.33
 Arklow Bank,52.789,-4.05103,75572.86
 Athea,52.44336,-8.70731,63334.0
 Ballaman,52.6235,-5.45717,41260.0
 Ballincollig Hill,52.31044,-8.40372,16449.38
 Ballinlough-Ikerrin,52.83042,-7.98703,18143.33
 Ballinveny,52.81972,-6.04747,16943.33
 Ballybane,51.63186,-8.62425,43741.11
 Ballycadden,52.65486,-5.47669,41768.0
 Ballymartin,52.39097,-6.89042,30824.29
 Ballynancoran,52.67528,-5.47608,41880.0
 Ballywater,52.53567,-5.76117,44787.62
 Barnesmore,54.69761,-6.06225,11516.33
 Bawnmore,51.95342,-7.086,27740.0
 Beal Hill,52.56358,-8.36708,24242.5
 Beallough,52.27339,-6.65581,6795.0
 Beenageeha,52.33206,-8.43667,15061.67
 Bellacorick,54.14022,-8.46714,8077.62
 Blackbanks,54.14525,-7.80111,17116.67
 Boggeragh,52.04572,-7.09372,54858.95
 Booltiagh,52.78361,-8.75614,35257.69
 Booltiagh 2,52.78361,-8.75614,46398.33
 Bruckana,52.78369,-6.32392,61446.43
 Burren,53.92408,-8.64731,19976.0
 Burtonport,54.98,-7.55894,15840.0
 Cark,54.88514,-6.12072,14367.2
 Carnsore,52.17997,-5.64,19965.71
 Carrickeeney,54.33639,-7.72064,45597.5
 Carrig,53.03183,-6.02133,17606.67
 Carrons,52.541,-8.92889,46845.0
 Carrowleagh 1,54.13917,-7.04269,51352.86
 Carrownaweelaun Wind Farm,52.63308,-8.27469,48780.0
 Castledockrell,52.58964,-5.36042,40367.22
 Clahane,52.36408,-8.46033,135608.33
 Cloghboola,52.33642,-8.55839,49111.25
 Clydraghroe,51.98903,-8.84178,32845.0
 Coomacheo,52.01156,-8.86383,42490.56
 Coomacheo Extension,52.01156,-8.86383,41148.75
 Coomagearlaghy II,51.93264,-8.67467,15754.0
 Coomagearlaghy III,51.93392,-8.6505,50315.38
 Coomagearlaghy-Kilgarvan,51.93264,-8.67467,40936.0
 Coomatallin,51.65044,-8.90544,32200.0
 Corkermore,54.71458,-7.64111,47086.0
 Corneen,54.14186,-6.35381,36000.0
 Corry Mountain,54.07611,-7.85636,12798.75
 Crocane,51.84347,-7.84189,15730.0
 Crockahenny,55.14206,-6.72692,12000.0
 Cronalaght,55.06564,-7.77894,14940.0
 Cronelea I,52.77767,-5.44214,27255.0
 Cronelea II,52.77767,-5.44214,38030.0
 Cronelea Upper,52.78269,-5.44517,15753.33
 Cronelea Upper 2,52.78078,-5.45381,34270.0
 Cuillalea,53.85267,-8.92925,19021.67
 Culliagh,54.86792,-6.10611,15837.22
 Currabwee,51.67875,-8.88167,14712.86
 Curraghgraigue,52.79761,-7.89411,17050.0
 Derrybrien,53.09461,-7.38961,19844.14
 Dromada,52.44247,-8.781,35948.42
 Dromdeveen 1,52.32969,-8.94369,43640.0
 Drumlough Hill,55.20119,-6.55617,15840.0
 Dundalk IT,53.98353,-5.60642,19470.0
 Dunmore (IE),53.78861,-5.46647,19410.0
 Faughary,54.34128,-7.86711,47540.0
 Flughland,55.13875,-6.72975,54535.0
 Garracummer,52.65722,-7.8595,59058.24
 Gartnaneane,53.94492,-5.06189,36000.0
 Garvagh Glebe,54.14856,-7.80175,44213.85
 Geevagh,54.14178,-7.73056,15093.33
 Glackmore II,55.12461,-6.72661,55380.0
 Glackmore III,55.12461,-6.72661,33600.0
 Glanlee - Midas Ltd.,51.92853,-8.67917,50638.33
 Glenough,52.64183,-7.93933,51445.38
 Gneeves,52.00864,-8.87714,15684.55
 Gortahile,52.81592,-6.9325,53838.75
 Grouse Lodge,52.52158,-8.89564,57281.67
 Hollyford,52.65439,-7.9235,67026.67
 Inis Mean,53.06856,-8.39869,5383.33
 Inverin I,53.265,-8.62839,15808.0
 Inverin II,53.265,-8.62839,15810.0
 Kealkill,51.80889,-8.67764,17286.0
 Kilbranish,52.65753,-5.27122,22380.0
 Killybegs,54.66097,-7.54214,21646.67
 Kilronan,54.07608,-7.85631,7521.0
 Kilvinane,51.70614,-7.00489,18400.0
 Kingsmountain 1,54.19908,-7.20119,57530.0
 Kingsmountain 2,54.21453,-7.14386,19964.62
 Knockacummer,52.26806,-8.89964,54206.86
 Knockaneden,51.93583,-9.901,48022.5
 Knockastanna,52.65828,-7.79114,35045.0
 Knockawarriga,52.34331,-8.78703,55184.44
 Knocknagoum,52.32806,-8.45308,14554.55
 Knocknalour,52.68194,-5.44164,41305.0
 Lahanaght Hill,51.65183,-8.78633,17404.0
 Largan Hill,53.94692,-7.4375,15475.56
 Lisheen,52.76239,-6.29519,43290.0
 Loughderryduff,54.82236,-7.60811,20387.78
 Lurganboy,55.11619,-6.38381,20705.0
 Mace Upper,53.77394,-7.02628,18673.33
 Meeanalta-Ballybofey,54.84897,-6.17206,20365.0
 Meenadreen,54.66214,-6.05444,20362.5
 Meenadreen II,54.66214,-6.05444,59995.0
 Meenanilta III,54.84372,-6.18336,19437.5
 Meenkeeragh I,55.13331,-6.61669,49095.0
 Meentycat,54.88686,-6.12075,55173.91
 Meentycat 2,54.88686,-6.12075,48000.0
 Mienvee,52.64942,-7.85931,17670.0
 Milane Hill,51.69233,-8.79117,15467.78
 Moanmore,52.67625,-8.50689,47074.29
 Monaincha Bog,52.93458,-6.26894,57167.33
 Moneenatieve 1,54.14997,-7.86,16466.0
 Mount Eagle Windfarm I,52.24278,-8.67481,17878.33
 Mount Eagle Windfarm II,52.24278,-8.67481,17880.0
 Mount Lucas,53.27444,-6.75358,55149.64
 Mountain Lodge 1,54.00183,-6.87608,35975.0
 Mountain Lodge 2,54.00183,-6.87608,35870.59
 Mountain Lodge 3,54.00183,-6.87608,34750.0
 Muingnaminanne,52.29036,-8.46169,21593.33
 Mullananalt,54.07733,-5.08953,35818.0
 Pluckanes,52.00989,-7.32375,11150.0
 Raheen Bar II,53.90936,-8.65114,19095.0
 Raheen Barr,53.90022,-8.6425,19111.82
 Rahora,52.39831,-6.94808,13644.0
 Rathcahill,52.39875,-8.87297,59180.0
 Ratrussan-Bindoo,53.99839,-6.88711,35869.38
 Reenascreena,51.62511,-8.96311,16850.0
 Richfield,52.21506,-5.40819,35383.33
 Shannagh,54.66819,-7.41675,21670.0
 Sigatoka,51.81719,-7.06183,36510.0
 Skehanagh,53.02114,-6.01592,17580.0
 Skrine,53.56686,-7.8155,39160.0
 Slievereagh,52.36272,-7.58419,34550.0
 Slievereagh 2,52.36272,-7.58419,34550.0
 Snugborough,54.13997,-6.38594,35431.11
 Sonnagh Old,53.13089,-7.35958,19453.33
 Sorne Hill,55.12947,-6.63636,49103.75
 Sorne Hill II,55.12947,-6.63636,53996.67
 Spion Kop,54.09214,-7.88031,12975.0
 Taurbeg,52.25514,-8.86692,45932.73
 Templederry,52.77889,-7.85244,47460.0
